Word,Definition
Āwhato,"awheton. 1.Cordiceps robertsii and other Cordiceps species of parasitic fungi which infest the larvae of certain insects; the “vegetable caterpillar” see horuhoru2.A large caterpillar, larva of Sphinx convolvuli. Ka mahi te awhato hohoni paenga (P. 38).'"
Awhe,"hawhe, whawhe1.v.t. Scoop up, gather into a heap. Ka tango i te kakahi hei awhe i nga wairua ki roto ki te rua (T. 87). Awhea mai nga oneone.2.Hem in, surround, beset. Ka awhea ma e te hau o roto o te riu (T. 153).3.Span, encircle, so measure a tree with the extended arms.4.Stir, disturb. Haere mai ki Hauraki, ki te aute te awhea (P. 10). Kaore te aroha e awhea mai nei (M. 260). E pa ta waho e awhea mai nei (M. 201).5.v.i. Pass round or behind. Awhe ana tua ra i taku hemihemi (M. 65).6.Go, travel. Kaore āna ra koe awhe mai ana ki te haukainga (M. xcvii). Waiho kia whana atu ana he toroa awhe nui e topa ana ia ki te uru (M.M. 198).7.n. A greenstone pendant with the end curved. awheawhev.t. Work in a body on anything. Me awheawhe noa tena mahi ka oti. awhengan. Applied to a vassal people, as a weak tribe saved from destruction out of pitying contempt. Ka puta te whakaaro i nga rangatira o taua iwi kia heke ratau ki te rahiti, koi waiho ratau hai utanga kupu. Ko taua kupu ka puta ki te whakatupuranga uri, “He awhenga koe naku.”'"
Āwhea,ahea see hea'
Awheo,1.n. Halo.2.v.i. Be surrounded by a halo. Ka awheo te marama ka taka.3.a. Roundabout. see awhio'
Awheotau,v.i. Be surrounded by a halo.'
Awherangi,1.n. A defensive spell to throw witchcraft upon its author.2.a. Bespoken. E haramai ra koe i te makau awherangi (S. 16).'
Awherau,"Nga hau o waho tenei kei roto i ahau e kai awherau i taku hinganga ki raro, i taku tunga. '"
Awhero,"n. Hopes, desires.I aua kia tae ki ou awhero … (N.M. i, 42).  (Not foreseeing that when your desires were attained …).'"
Awheto, see awhato'
Awhi,"v.t. 1.Embrace. Ina he awhi kau iho tau (T. 129).2.Foster, cherish. Na toku tupuna au i awhi, a whai tangata ana ahau.3.Sit on eggs, as a hen.4.Draw near to. Awhitia mai, kia piri, kia tata.5.Besiege. Ao ake te ra ka awhitia te pa, kotahi tekau pea nga ra e awhi ana. whakaawhiv.t. Surround. awhiawhi1.n. Embrace. Kia mana ra ta taua awhiawhi (M. 180).2.A particular hold or grip in wrestling. whakaawhiawhiv.i. Cling together. korero whakaawhiawhi close conversation. awhiawhi, whakaawhiawhin. A ceremony to remove tapu from a new house.'"
Awhikiri,n. Third or inner wooden palisade of a fort. = kiritangata'
Awhina,"v.t. Assist, benefit, befriend. He awhina tangata anake te rangatiratanga o tenei mea, o te tangata (T. 12).'"
Āwhio,"1.a. Roundabout, winding. Kaua koutou e haere ma tena huarahi engari haere ma te huarahi awhio.2.v.i. Go round about. Awhiotia te nuku o te whenua ka tae kei a Kapiti (M. 284). āwhiowhio1.n. Whirlwind, whirlpool.2.a. Circuitous. see awheo'"
Awhipapa,"n. The advance in stooping attitude, dragging huata (spear) behind like a bird spear.'"
Awhireinga,v.t. Embrace in theregion of spirits.'
Awhiti,"awhitu1.a. Cautious, on one''s guard.2.v.i. Feel regret, feel hurt, yearn for. E roto koa ra, e awhitu noa ra ki te tau i rangia (M. 203). E awhitu ana toku ngakau ki nga kai kihai i nui mai ki a au. see ohiti'"
Āwhiwhi,"a. Near. Te awhiwhi mai he rukenga naku, i aku rangi mananga (M. 18). āwhiwhiwhiv.i. Approximate, resemble.'"
E,vowel Pronounced as e in “pet” and in “epic”. ē = e perceptibly lengthened. '
E,"particle Used,  1.Before verbs or adjectives followed by ana, nei, na, etc., to denote action in progress, or temporary condition, in time past, present, or future. E haere ana maua ki reira (T. 145). E ora ana ano maua (T. 176).2.Before verbs or adjectives without a following particle, to denote future action or condition. Tera pea e tae mai ki konei (T. 188).3.In a negative clause answering to the last, to introduce the negative. E kore korua e maia (T. 200).4.Before verbs, to form an imperative. Ka mea atu taua hunga, “E haka” (T. 65). Kaua e titiro atu, kei mate korua (T. 48).5.Before the interrogative hia, and the cardinal numbers from two to nine, in a statement regarding the number of articles. Ka tatau ano, tatau rawa iho e waru ano taro, kua riro e rua (T. 49). Ka tango ia i nga taha e ono (T. 132).6.In relative clauses, after a negative, with reference even to time past, Te mea i kore ai e nehua (The reason they were not buried).'"
E,"prep. By, of the agent, and following passives only. I ngarea mai au e Paoa (T. 187).'"
E,"int. 1.Vocative, O. E koro ma, kawea au kia kite i o tuakana (T. 197).   Often used after, as well as before a name. E Turi e ! E Turi e ! whakahokia ki uta (T. 111).2.Calling attention, or expressing surprise. E ! kua ora a Raumati (T. 102). E ! ko te Te Kahureremoa (T. 144).3.In poetry, at the end of a line or stanza, without any particular meaning. Te marama i runga ra, e (M. 191).4.v.i. Exclaim “E!”'"
E,"conj. 1.If, when. Ka ora rapea ahau, e ka tuaina ki te moana (M. vii). Koia tenei pepeha mo te mea kite, e ka kitea te taonga makere (M. xi). It is often used without any verbal particle: E whiti koe ki rawahi, me haere tonu atu koe (When you get across the sea, go right on) (T. 110). E ua patapata nunui, ka mate au (If it rains heavily, I shall have died) (T. 61).2.To give emphasis. Why, of course. “E haere atu ana ahau ki te whakataki i taku kotiro.” “Kei hea?” “E, kei te rangi” (T. 49).'"
E,"particle Sometimes used before roto and other local nouns (F.L. § 8)when they stand as subject to a sentence, particularly in poetry. I mihi mai e waho, i riri mai e roto (M. 267). E mua ata haere, e muri tata kino (P.).'"
Eā,int. Expressing surprise Ea ! kua mate tau mokai (T. 161). '
Ea,"v.i. 1.Appear above water. Kia timu te tai ka ea ai nga toka ki runga.2.Be flooded, of a house, camp, etc. Kua ea katoa to whare.—He takere toea, ea katoa a roto o te whare.3.Rise, as heavenly bodies. Ka ea mai a Whanui.4.Reappear, as the moon at new moon. Ka tatari a Maia kia ea te marama, ara kia tae ki te Hoata.5.Be brought to land. Ka ea te kupenga ki tahaki. Ka ea to ika he haku no te maoana uri (M. 10).6.Be avenged, requited. Ka ea te mate o Tuhuruhuru (T. 62). Ka ea tana kanga i a Mutahanga, i a Manahua (T. 93).7.So, be paid for. Kaore ano i ea toku kakahu. Tu pupu, tu ngaro; tu kete, tu ea. (A portion [of food] in a little bundle is a portion lost; a portion in a basket, a portion to be repaid) (P.).8.Be paid. Ka ea te utu.9.Be produced, come up, as a crop.10.Be performed, as a religious rite, Ka ea te purenga (T. 83).  whakaea1.v.t. Pay for.2.Avenge.3.Perform an incantation. Po rawa iho, ka marere o te maia ra o Ngatoro, kei te whakaea, kei te karangaranga i te hau, me te ua, me te whatitiri (M. xxi).4.Spread, extend. Whakaea marire atu aku parirau (M. 113).5.v.i. Appear above the surface. Nga motu whakaea i waho o Motutawa (M. 333).6.So, draw breath. Whakaea te manawa o Rangi (M. 356).7.n. A species of eel found in stagnant pools, but not in running water. whakaeangan. Object of affection. whakaeaea1.v.t. Lift or draw out of the water. Tukutukua i Rangiaowhia, whakaeaea i te Mamaku (T. 178).2.Ease pain. He whakaeaea mo te mamae.3.Utter disconnectedly, as through want of breath; sob. Whakaeaea ana te tangi a toku ihu (M. 120).'"
Eai,"int. Expressing admiration  >Eai au tini kakahu! Note: This, perhaps, should be e ai, and referred to see ai (ii)'"
Eaoia,e ao ia int. Expressing assent see ao (iii)'
Ehake,ad. Not. Ehake tenei tangata see chara'
Ēhara,"ad. 1.Not, stating non-identity, and followed by i. Ehara i te tikanga tangata (T. 61). Ehara i te mea, it is not the case that. Sometimes with an ellipsis of i te mea, as, Ehara maku nga moni.   Ehara i te hanga, perhaps = ehara i te hanga noa iho, it is no common thing, i.e., it is something extraordinary. Ehara is sometimes used alone in this sense. Ehara! ta te pari pai hoki (T. 160). Ehara ano te haere o tera toa! (T. 60).  2.Used with i in a negative sentence where the positive statement would require the use of na or no. Ehara i a koe tenei kainga, noku ano (T. 79). Ehara i konei; mehemea no konei, he hauraro noa iho te kakahu o te weruweru (T. 147).3.In animated narrative, without doubt, sure enough. Tahi ano whakarerenga iho o tana meremere; ehara, kua mate (T. 120). Note: Early writers in New Zealand printed e hara; this is not now usual see hara (iii)'"
Ēhe,"ehēint. expressing surprise. If the form ehē is used, dissent is implied.'"
Ehea,pron. interrogative plural of tēhea Which?'
Ehi,int. Well! Ehi! kua rite o maua nei hiahia (T. 131).'
Ehia,e hia see hia (i)'
Ehinu,"pron. definitive plural Some. Kei hea ehinu o nga toki? Ko tona kawenga i tuwhaina ki ehinu o nga kai-waha (Ha 303) see etokohinu, tokohinu'"
Ehu,"1.a. Turbid. He wai ehu, he wai para-horo.2.v.t. Bail, or more accurately dash, the water out of a canoe by means of a paddle moved briskly from side to side. Ka ehua te wai o tona waka (T. 111).3.Exhume, disinter. No te ehunga i a Te Eke see hahu whakaehuv.t. Scatter, disperse. Kaua e whakaehu i nga poaka.'"
Ehu,"ahuan. Appearance, form. Ruia te taitea, tu te ehu tapu (M. 206). He kumara kai hamuhamu ko te ehu o te kupu na. whakaehuv.i. Appear dimly. Ngari te tahakura whakaehu rawa mai, a whiti rere ake ka hewa kei te ao (S.). Ko to wairua i haramai whakaehu (S. 68).'"
Ei,"int. in poetry and occasionally in prose. Haere atu ra, ei (M. 251). Ei, tena te rakau ka hoa (T. 98). Ano ra ko Tama, “Eii, ka ora rapea ahau” (M. vii). '"
Eke,"v.i. 1.Generally place oneself or be placed upon another object, and so:2.Embark. Nga waka i eke mai ai o matou tupuna ki tenei motu (T. 69).3.Get aground, come to land. Ka eke ki uta; ka kitea nuitia e nga tangata (T. 57).4.Rise, as a star. Ka eke te whetu o te rangi (W. i, 89).5.Rise in swellings. He mate pukupuku, ka papauku katoa te kiri, he eke no te kiri.6.Be laid or cast upon, as blame, censure, etc. Ka ekengia ahau e te kupu (I am the subject of blame; I am found fault with).7.Come to be exercised over, as control, authority, etc. He whakaaro nana, kei eke mai he tikanga ma te matua ki runga ki nga taonga i wehea mai mona.8.Thicken in cooking etc.9.v.t. Raise. Na ka ekea a Rangi ki runga (Tr. vii, 33).10.Climb. He pukepuke moana e ekeina e te waka (P. 26). 11.Mount a horse, etc.; reach the summit of a mountain, etc. Haere ano ratou, ka eke i runga i te puke (T. 79).  whakaeke1.v.t. Attack, assault. Ka whakaekea tonutia e te mano (T. 176).  Te ingoa o te pa ko Te Hape, ka whakaekea e te taua.2.Make a rush. Ka whakaekea e te tangata whenua ki roto i te whare o te manuhiri (T. 193).3.Lead an army to the attack. Katahi ka whakaekea te taua raka ki roto i nga pa (T. 81).4.Earth up crops. Kahore ano kia whakaekea nga riwai.5.Place upon, load. Ka pau te tui te whakaeke ki te ngohi (When the cord was fully laden with fish) (T. 179.).6.v.i. Climb upon, mount. Kei whakaeke koe ki runga ki te peka patate (M. 403).7.Alight. Ka whakaeke ki raro ki te whenua (Tr. vii, 38).8.n. Visitor, guest. Ko etahi rawhi ka pau ma nga whakaeke (T. 185).9.Ally, body of supporting troops. Katahi ka tae mai te whakaeke a Karopiti, no Kawhia, hei haumi i a ratou. whakaekeeke1.v.t. Invade.2.v.i. Follow in quick succession. He ua whakaekeeke; taro kau iho kua ua ano.3.n. Arrival of guests.'"
Ekieki,"ikeikea. High, lofty.'"
Eml,"emiemiv.i. 1.Be assembled, be gathered together. Ka emi mai te mano o te tangata ki te haka (M. vii). Kua emiemi nga tangata ki te whare.2.Be ashamed. emiemin. 1. Dracophyllum latifolium, a tree. = neinei2.Bract at footstalk of a gourd. whakaemiv.t. Gather together. Katahi ka whakaemia kia kite i te patunga o Whakaturia (T. 64).'"
Ena, plural of definitive tena Those near or connected with the person spoken to.'
Enaka,ena'
Enanga,"a. Like, having the form or appearance of.'"
Ene,"1.v.t. Flatter, cajole. He ene te korero a te tangata nei, ma wai e whakarongo atu ?2.n. Anus. Tou ene, or mau tou ene, a contemptuous rejection of an offer. whakaene1.v.t. Make smooth. Haere mai ki te whakaene i nga parua i tanumia e ou matua.2.Present the posteriors in derision.3.n. Certain sacred rites. Ka tahuna te ahi whakaene, ka karakia te tohunga, ka hoatu te taio makawe. I tahuna mai au ki te ahi whakaene ki'' mate te wairua (S.). eneene1.v.t. Endeavour to obtain by flattery, coaxing, etc. Kei te eneene kai mana.2.Incite, provoke; as in eneene riri, provoke a quarrel.3.a. Utterly consumed, wasted, bare. Kua eneene noa aku kai.—Eneene ana nga kai o te kainga nei, monemone ana i te poaka. whakaeneene1.v.i. Dawdle. E tama! he mahi whakaeneene tau.2.In the expression moe whakaeneene, practise sodomy. '"
Enei, plural of definitive tenei These near or connected with the speaker.'
Enga,n. Anxiety. engaengav.i. Overflow.'
Engaio,"n. A parasitic worm infesting kaka, kokopu, inanga, and weta; commonly termed the “Gordian worm” = ngaio'"
Engari,"engaringari <history>(formerly written e ngari)</history> erangiconj. 1.It is better. Akuanei pea ka mate ko au: engari pea me haere noa atu au ki te kimi kainga ke atu hei oranga moku (T. 119).2.But, but rather. Kei hopu tou ringa ki te aka taepa, engari kia manu ki te aka matua (T. 48).3.On the contrary, on the other hand. He nui tona mohio, tona marie; engari, ki te puta atu te tangata o te iwi ke … ka whakatika ki te tautau mai (T. 156). (In Uv., To., Fu., and Ni., gali (i.e., ngali) means likely, fit, becoming.)'"
Engei,A particle of uncertain meaning. He maripi engei au ? (Have you a knife ?). see nge'
Engia,ad. Expressing assent  Engia ane? (Is it really ?) see koia'
Eo,"n. Louse. = kutu whakaeo1.v.t. Deprive of power, cause to waste away, generally by occult means. Mehemea ka oho te taniwha, me tu atu te tangata ki te whakaeo. Ahakoa i waiho i te moana aua mea kino, ka whakaeotia kia mutu.2.n. Ill luck, brought upon canoes, nets, etc., by carelessly omitting to remove all of the previous day''s catch. Ki te whakaeonga o te kete inanga (M. 402 (M.S.) see ero'"
Epa,"1.v.t. Pelt. Katahi tona papa ka whakatau epa ake (T. 16).2.Throw, cast. Epaina atu ana e Hine te kohatu ki te wahine i mua (W. ii, 122).3.n. Thunderbolt. Ko nga hapu e tangi nei i te rangi, nga ingoa o ena tangata, ko Whaitiri-pakapaka, ko te Epa … he hapu atua enei no te iwi Maori.4.Something connected with sacred rites. Offering. Ka hikihiki te epa, ka rangahau te epa, ko te epa o Tutawake (S.). Whakatu te epa o te ariki, hiki ake oriaria (M. 414).5.Objection, hindrance. Kahore he epa mo tena. whakaepa1.v.t. Cast, throw. E kore e whakaepaia ki runga ki te waka tona tinana.2.Conciliate, propitiate, make much of. Ka tata mai te aroha ki te tau ra, e, i whakaepa i taku ohinga (S. ii, 38).3.Land a shark in the canoe (Tr. xliii, 601).4.n. Propitiatory offering.5.Horizontal parts of the tiwhana design in tattooing. epaepav.t. Pelt continuously. Roa noa atu ratou e epaepa ana i a ia (T. 16). whakaepaepav.t. 1.Object to, hinder Kahore tatou i te tika e ahei ai i a tatou te whakaepaepa.2.Conciliate. Riro ana taku poaka hei whakaepaepa mo te tohunga. Ka meatia te aute hai whakaepaepa atua.'"
Epa,"n. Posts at the ends of a Maori house between the poupou and poutāhu (J. v, 148.)'"
Epeepe,n. Distant relative.'
Era, plural of definitive tera Those yonder.'
Erangi,engari'
Ero,"1.a. Putrid.Kua eroa te ika nei.2.Thin, emaciated.Koukou mata ero koi runga (M. 421). E ki mai na koe, he ero.3.n. Discharge from a sore or boil, pus.4.Decrease, diminution. E te hua, e te ero (M. 327). whakaero1.v.i. Putrefy. Ki te whakaeronga o to kete inanga (M. 402) see whakaeo2.Diminish, dwindle, disappear. Ko te whakaerotanga hoki tenei o te mana me te tapu nui o to tupuna, o Tama-te-kapua, i hoki mai ai ki ahau (J. ii, 227). Whakaero ana te tangata, whakaero ana hoki te taonga.3.v.t. Perform a ceremony for the well-being of a canoe. He aha te take mau e whakaero to koutou waka. (J. iii, 61) (Uv., To., Fu., Sa.: elo, putrid, stench.)'"
Ētahi, plural of definitive tetahi Some.'
Etahi,"int. How great ! Etahi te oha a to tangata ! (i.e., yourself) see katahi'"
Ētē,int. Calling attention Ete ! nekeneke atu kia watea. '
Ete,"v.i. Thicken in cooking see eke whakaetev.t. Force one''s way, etc., press through a crowd. Ka whakaetea he nohoanga mona. Kei hea ou tuakana, ou teina hei whakaete nohoanga ? (M. 189). Mate atu he tete kura, whakaete mai he tete kura (P.).'"
Etehi,"etahi Te rongo etehi, wehea ake etehi (T. 5). '"
Eti,"v.i. Shrink, recoil. Ka eti toku kiri i konei. etietia. Disgusting see wetiweti whakaetietiv.t. Loathe. E noho koe i uta na kia whakaetietia koe e te tangata (W.W. 48).'"
Etia,"1.ad. As it were, as if. Etia he waha tangata (T. 116). Etia ano aku mata me te mata ruru e tiwai ana (S. ii, 73).2.Perhaps.  Etia kei te moe koe.3.int. How great! Etia tonu tou humarire ! (T. 164).'"
Eto,"a. Lean, attenuated. whakaetov.t. Evaporate.'"
Etokohinu,"ehinu Some, used only when speaking of persons.'"
Euē,int. see aue'
Ewa,"whakaewa, whakaewaewan. 1.Strips of reddish-yellow flax used to ornament some forms of cloak.2.A cloak so ornamented. = mangaeka'"
Ewarangi,whakaewarangin. An ornamented cloak.Uhia au te whakaewarangi (M.M. 77) see whakaewa'
Ewe,"n. 1.Placenta, or afterbirth. Ka tanumia te ewe, kiia iho te wahi i tapukea ai ko Te-ewe-o-Tuwhakairiora (J. xx, 18).2.Land of one''s birth.3.Mother.4.Womb. (Tu.) eweewen. Blood relative.'"
Eweewerau,n. Some portion of the afterbirth. = kawekawerau'
Ewekuri,"n. Paratrophis banksii, a tree. = turepo'"
H,"consonant Pronounced as in English. In the case of a few words the presence of the h does not seem firmly established, while in some words forms are in use with wh for the usual h. With the Whanganui tribe, and some of their neighbours, h is almost entirely wanting, its place being often marked by a break in the word. s of other Polynesian dialects is generally represented by h in New Zealand, and f very frequently so. '"
Hā,"1.n. Breath.2.Taste, flavour, odour. I te kainga a Toi, ka nanawe te reka ki tona kaki, me te mau ano te ha o te kakara ki te waha.3.Sound, tone of voice. E rangona kautia ana te ha o te reo tangata.4.Tenor of a speech. M ahue kau te ha o te korero a Maui haere ana ia ki te mate. Kia whakarongo tonu mai koutou ki te ha o taku kupu atu ki a koutou.5.v.t. Taste. Ha ana te waha i taua kai (Ha. 19).6.v.i. Breathe. E mate au, mau e ha to waha ki taku taringa maui (W. iv, 90).7.Hesitate in speaking. Ha noa te waha o te tangata ra, e ! whakahāv.i. Breathe, emit breath. hāhā1.a. Savoury, luscious. Ka kitea e ia te wai ka unu ia, ka ki, “Hāhā marika te reka o te wai nei.”2.Desolate, deserted. Haha te whenua, kahore he tangata.3.Leaning, inclined. Kia haha nga tara o te whare. (Tah. haha.)4.v.i. Catch the breath, breathe with difficulty.5.v.t. Warn off by shouting. Ka hāhāria mai e te katoa (T. 51). whakahāhāv.i. 1.Utter inarticulate sounds. Ka whakahāhā noa iho i te hiamoe.2.Murmur, as the sea. Ka whakahaha mai te tai i waho, he aio; ka whakatapotu te tai, he tohu hau.'"
Ha,int. What! varying in signification according to the tone in which it is uttered. Ha ! he matau ano ra taku (T. 21). Ha ! i haere mai nei hoki au ki te kawe wai mau (T. 169).'
Ha,"ad. Then, so. Ka rongo ha ki a Kiki (T. 172). E kore ha e marere mai (T. 186). He mate kai ha ne, i hoki wawe ai koutou ? (T. 194).'"
Hae,"hahae1.v.t. Slit, lacerate, tear, cut. Haea mai ra ki te mere tuatini (M. 34). To mata i haea ki te uhi matarau (M. 28).2.Cherish envy, jealousy, or ill feeling.  He whakatauki na Tuwhenuakura, “Ahakoa kai tahi, tera a roto te hahae ke ra” (P.). He aha koe ka hae nei ki te utu o tera tangata ?3.Cause pain. Aha kei taku ate e hahae nei he mamae ra (M. 419). Kaore hoki e te pawera e hahae nei (M. cviii).4.v.i. Split. Ka hae te wahine i te kata (W. ii, 8).5.Appear, shine, as stars before dawn, or the dawn itself. Ka hahae Matariki, e, Puanga, Tautoru (M. 401). Te ata ka haea i runga o Tongariro (M. 153). No te taenga ki Tapuae, ka hahae nga kawainga o te ata.6.Gleam, be conspicuous. Kia toru nga ahua (colours), kaore e pai te rua, kaore e hae, ara kaore e wana te titiro atu. (Nearly always so used of colours in combination).7.n. Fear, envy, dislike. Te hia ora o nga tangata noho i roto, i te hae mai o te ngarara nei.8.Pollen of flowers. haehae1.v.t. Lacerate. He tangi haehae, a wailing in which the mourners gashed themselves.2.Cut up. Tahuri, haehae te ika nei (T. 152).3.Tear. He ika haehae kupenga (T. 200).4.n. Parallel grooves between lines of dog-tooth pattern in carving. whakahaehae1.v.t. Lacerate.2.n. Offensive object or person, goblin. Romia atu te whakahaehae na (Choke that objectionable person).3.Glow at dawn.'"
Haeata,"n. 1.Dawn. Ra te haeata ka hapainga mai (M. 122) see hae 52.Bright arch in the horizon when the sky is overcast.3.Beam of light, entering any dark place. Kei puta mai hoki te haeata o te awatea ki roto i te whare (T. 13). haeatatangan. Opening, chink, through which a beam of light comes. Ka titiro atu i te haeatatanga o te whatitoka (T. 13).'"
Haehae, see hae'
Haekaro,"n. Pittosporum umbellatum, a small tree.'"
Haemanga,"n. Streamlet. E huna ana i roto i nga haemanga o nga hukitau o nga wai. (J. xx, 24)'"
Haemata,"1.v.t. Cut up in an uncooked state. Ka patua nga kuri e rua, kotahi i taona, kotahi i haematatia (T. 112).2.a. Strong-growing. Ka riro i a ia taku totara haemata (M. 341; J. xiii, 21).'"
Haeoratu,"a. High-pitched, of a roof (Tu.).'"
Haepapa,"1.a. Straight, correct. E hoa ! Katahi ano ka haepapa nga korero o nehera e whakaaturia nei e au ki a koe.—Kua haepapa te korero, kua rite (All the speakers agreed thoroughly). Kia hinga haepapa (Let it fall straight, in direction required).2.v.t. Eradicate, annihilate. Ko te hae-papatanga tenei o nga tangata o Hauraki, … na reira te whakatauki nei … “Ka haepapa te whenua.” Ko nga tangata nona te kainga kua kore (W. iv, 44).'"
Haeparangi,"v.i. Pass at a distance, remain distant.'"
Haere,"1.v.i. Come, go, depart. Ka haere raua ki roto ki te whare (T. 43). Ka haere mai a Aotea ki te ra huru (T. 112). Ka haere atu te kai-titiro (T. 142). Haere mai ! Welcome ! Haere mai ra, e te manuhiri tuarangi (T. 148).    Haere ra ! Farewell ! (said to the person going). Ka whaia ratou e te tangata whenua … poroporoaki ai, “Haere ra, haere ra, hoki atu ra ki tou kainga” (T. 170).   2.Become. Ka haere ka momohangatia te manu (Birds are becoming scarce).3.Be diffused. Tena rawa te tiere te haere na, ara, te kakara o te tawhiri (T. 193).4.With words denoting number, size, etc., to indicate progressive change. I reira ka nui haere te maramatanga (Thereupon the light increased) (M. v). Ka hoki haere te pupuhitanga o tona poho (The distention of her stomach decreased) (W. i, 101). Koia ka maha haere ai ona hihi (So his beams were multiplied) (T. 29).   So also with kake, piki, heke, iti.5.Adverbially. Ko te kumara ka horo haere i te huarahi (The kumaras kept falling on the path as he went) (T. 136). Ka titiro haere i nga kainga katoa (He searched all the villages as he went) (T. 184).6.n. Travelling party. Kia rahi te haere, kei mahue tetahi (T. 189). haereapass. Be gone over or for. Te whenua e haerea ana e Te Ponga ma (The ground which was being traversed by Te Ponga and his party) (T. 171). Koia tenei ko te tangata e haerea nei e taua (So this is the man on account of whom we have come) (T. 147). whakahaerev.t. 1.Cause to go.2.Carry about. Kei te whakahaere a Puru i tana tamaiti.3.Conduct, lead.4.Conduct any business, execute. Ka whakatika nga rangatira ki runga ki te korero i te maia, i te ata whakahaere (T. 150).   So  whakahaere tikanga, direct, superintend, govern.5.Search for, explore, go about to examine. Apopo matou haere ai ki te whakahaere kiekie. hāereerev.i. Stroll, wander about, meander. Ki te puta atu te tangata o te iwi ke ki te haereere i taua ara (T. 156). whakahaereerev.t. Conduct, lead about. Mana pea koe e whakahaereere atu nga whanga e rau o Tauranga (M. 63).'"
Haere,"n. A spirit supposed to reside in fragmentary rainbows on detached clouds. (Wai. 21, 26)'"
Haeroa,"a. Ka keria te rua haeroa, te rua o te ngana (T. 86). The rua haeroa was a hole dug in the ground in connection with incantations against one''s enemies; called also rua tūpō. '"
Haetara,"a. Exciting envy, admired. Taku kaka haetara, i te iwi ra ia (M. 124).'"
Hāhā, see hā'
Haha,"v.t. 1.Seek, look for. Kei te haha te tuakana o te wahine nei (T. 139). E haha ana au ki taku toki.2.Search. Ka haha a Tutanekai i nga pareparenga o te waiariki (T. 133).3.Enquire about. Ko te haha ra a te tangata ki a Paoa (T. 190).4.Procure. I haria mai taua here e raua hei haha kai ma raua (T. 137).'"
Hahae, see hae'
Hahaka, see haka (i)'
Hahake, see hake (iii)'
Hahaki,"a. Ostentatious, vain. whakahahakiv.t. Point out, indicate, draw attention to. Ka mauria mai nga tapatahi inanga ma tona hungawai, ma Kahu, hei whakahahaki, kia mohio ai ia he kai kei roto i taua moana.'"
Hahana, see hana'
Hahani, see hani'
Hahao, see hao'
Hahari, see hari'
Hāhau, see hau (ii)'
Hahau, see hau (vii)'
Hahohaho,"a. 1.Disarranged, disordered, rumpled.2.Slimy.'"
Hahore,"a. 1.Barren, of land.2.Bare, without branches (J. iii, 27).'"
Hahu,v.t. 1.Disinter the bones of the dead before removing them to their final resting place. Ma wai e hahu te tupapaku ?2.Search for. A hahu noa ana ia i tetahi kai ma tona puku see hāhau3.Scatter see tihahuhahu'
Hahuki,n. Kumara pit (Ngi.).'
Hai,"n. The name of the principal stone in the game of ruru (Tr. xxxiv, 67).'"
Hai,"a poetical expletive used at the end of a line. Ka tere te waka, hai (M. 378). Te marama i whanake aku tama, hai (M. 375). '"
Hai,poetical see hei (i)prep. Ko wai hai titiro? (M. 50). Ka tu au hai rahui tapu ki te whana (M. 417). '
Hai,poetical kihaiad. Not. ''Hai koe i awaiho (M. xcvii). ''Hai koe i whangaia (M. xcviii).'
Haihunga,hauhungan. Frost.'
Haipu,v.t. Place in a heap. Ka haiputia te rarauhe. = haupu(Po.).'
Haitutu,"a. Close, oppressive, of atmosphere.'"
Hāka,"n. Erigeron canadensis, American groundsel. (mod.)'"
Hakā,"hekēint. Expressing surprise, complaint, admiration, etc. '"
Haka,"1.v.i. Dance. Ka mea atu taua hunga, “E haka!” (T. 65).2.Sing a song to be accompanied with a dance. Katahi ka haka e ratou, koia tenei ta ratou haka (T. 37).3.n. Dance. E tu ana te haka, he tohu whenua rangatira te haka (T. 188.) Te haka a Tane-rore, the quivering of the air on a hot day. 4.Song, accompanying a dance. Ka ai he oneone mahi kai ma te wahine tito haka (M. 413). hahakafrequentative of haka. Au ka titoi, au ka hahaka (M. 359). He hahaka nou, he ruhi nou i te pukanatanga (W. iv, 119). '"
Haka,"a. Deformed. Turi haka, or wae haka, bow-legged see hake whakahakav.t. Lower. Whakahaka te rangi i runga nei ko te po kua tapu (W. iii, 95). hakahaka (iii)a. Short in stature, low. He maunga hakahaka.—Tiketike ngahuru, hakahaka raumati (P.). —Taku manu hakahaka ki tua o Papaura (W.M. ix, 6). whakahakahakav. Descend upon, threaten. Ka whakahakahaka iho nga manu ra, ka piki ano ki runga nga manu ra.'"
Hakakao,"n. Limosa lapponica baueri, bartailed godwit. = kuaka'"
Hākari,"1.n. Gift, present.2.Entertainment, feast. Ka tukua te hakari a nga iwi a Tuhuke (W. v, 23).3.High wooden framework on which food was placed at a feast (Tr. xiii, 13).4.Roe of a fish.5.Yolk of an egg.6.Paphia intermedia and Dosinia subrosea, bivalve molluscs.7.v.t. Adorn, dress the hair. Kia hakaritia te mahunga, katahi ka tau tena ingoa Te Koukou.—Katahi ka tahuri te tangata ra, a Kahu, ki te hakari i tana tamahine. whakahakariv.i. Become roe. Koia ano tenei e whakahakari nei i roto i te mango (I. 34).'"
Hākaro,v.t. Hollow. Kua hakaroa te riu o te waka see tikaro'
Hākawa,"n. Silly person, fool.'"
Hake,"a. Humped, crooked. He hake te tuara o te tamaiti. E tama, whakarerea te rakau na, he hake.'"
